;has;has;has;has;;has;has;has;has;has;has;has;has;has;has;has;has;has;has;has;;
;Cap;Cap;Cap;Condition;;Gill;Gill;Gill;Gill;Stalk;Stalk;Cap;Cap;Cap;Cap;Veil;Veil;Ring;Ring;Spore;;
;Shape;Shape;Shape;Surface;;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;Shape;;
;has;has;has;has;;has;has;has;has;has;has;has;has;has;has;has;has;has;has;has;;
canEat;hasCShape;hasCSurface;hasCColor;hasBruise;hasOdor;hasGillattachment;hasGillSpacing;hasGillsize;hasGColor;hasSShape;hasRoottype;hasASurface;hasBSurface;hasAColor;hasBColor;hasVtype;hasVColor;hasNumber;hasRngtype;hasSColor;hasPtype;hasHabitat
Edible;Capshape;Capsurface;Capcolor;Bruises;Odor;Attachmentype;Spacingtype;Gillsize;Gillcolor;Stalkshape;Roottype;surfaceAbove;surfaceBelow;Colorabove;Colorbelow;Veiltype;Veilcolor;Ringno;Ringtype;Sporeprint;Poptype;typeOfhab
poisonous;convex;smooth;brown;yes;pungent;free;close;narrow;black;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;black;scattered;urban
edible;convex;smooth;yellow;yes;almond;free;close;broad;black;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;numerous;grass
edible;bell;smooth;white;yes;anise;free;close;broad;brown;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;numerous;meadows
poisonous;convex;scaly;white;yes;pungent;free;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;black;scattered;urban
edible;convex;smooth;gray;no;none;free;crowded;broad;black;tapering;equal;smooth;smooth;white;white;partial;white;1;evan;brown;abnt;grass
edible;convex;scaly;yellow;yes;almond;free;close;broad;brown;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;black;numerous;grass
edible;bell;smooth;white;yes;almond;free;close;broad;gray;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;black;numerous;meadows
edible;bell;scaly;white;yes;anise;free;close;broad;brown;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;meadows
poisonous;convex;scaly;white;yes;pungent;free;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;black;several;grass
edible;bell;smooth;yellow;yes;almond;free;close;broad;gray;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;black;scattered;meadows
edible;convex;scaly;yellow;yes;anise;free;close;broad;gray;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;numerous;grass
edible;convex;scaly;yellow;yes;almond;free;close;broad;brown;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;black;scattered;meadows
edible;bell;smooth;yellow;yes;almond;free;close;broad;white;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;grass
poisonous;convex;scaly;white;yes;pungent;free;close;narrow;black;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;brown;several;urban
edible;convex;fibrous;brown;no;none;free;crowded;broad;brown;tapering;equal;smooth;fibrous;white;white;partial;white;1;evan;black;abnt;grass
edible;sunken;fibrous;gray;no;none;free;close;narrow;black;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;brown;solitary;urban
edible;flat;fibrous;white;no;none;free;crowded;broad;black;tapering;equal;smooth;smooth;white;white;partial;white;1;evan;brown;abnt;grass
poisonous;convex;smooth;brown;yes;pungent;free;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;black;scattered;grass
poisonous;convex;scaly;white;yes;pungent;free;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;urban
poisonous;convex;smooth;brown;yes;pungent;free;close;narrow;black;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;urban
edible;bell;smooth;yellow;yes;almond;free;close;broad;black;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;meadows
poisonous;convex;scaly;brown;yes;pungent;free;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;partial;white;1;pend;brown;several;grass
edible;bell;scaly;yellow;yes;anise;free;close;broad;black;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;scattered;meadows
edible;bell;scaly;white;yes;almond;free;close;broad;white;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;brown;numerous;meadows
edible;bell;smooth;white;yes;anise;free;close;broad;gray;enlarging;club;smooth;smooth;white;white;partial;white;1;pend;black;scattered;meadows
